Horse                                                                                                             , Year of Birth, Level, Sire                              , Sire's level, Dam                           , Dam's level
Diamant de Semilly                                                                                                , 1991         , 170  , Le Tot de Semilly                 , 170         , Venise des Cresles            , 150
Best MIX Joie De Toulon (aka: JOIE DE TOULON)                                                                     , 2009         , 170  , Toulon                            , 160         , Best MIX Cigane Z             , 170
Casall (aka: CASALL IV)                                                                                           , 2005         , 170  , Casall ASK                        , 170         , F-Cecilia Bb                  , 140
"Casall (aka: CASALL III, RUBNER'S CASALL)"                                                                       , 2004         , 170  , Casall ASK                        , 170         , Jenga                         , 130
"VDL Cardento (aka: Cardento 933, Cardento vdl)"                                                                  , 1992         , 170  , Capitol I                         , 170         , B-Estelle                     , 150
Nabab de Reve (aka: Nabab)                                                                                        , 1990         , 170  , Quidam de Revel                   , 170         , Melodie En Fa                 , 150
Reve De Nabab                                                                                                     , 2005         , 170  , Cartoon                           , 170         , Nevadille D'Amour Z           , 150
"Zirocco Blue VDL (aka: Quamikase des Forets, Zirocco Blue, Zirocco Blue N.O.P)"                                  , 2004         , 170  , Mr Blue                           , 160         , Licorne des Forets            , 140
"Mylord Carthago (aka: MY LORD CARTHAGO, Mylord Carthago HN)"                                                     , 2000         , 170  , Carthago                          , 170         , Fragance de Chalus            , 140
"Cornet Obolensky (aka: Windows van het Costersveld, Windows vh Costersveld)"                                     , 1999         , 170  , Clinton                           , 170         , Rabanna van Costersveld       , 150
Verdi (aka: VERDI R&D)                                                                                            , 2002         , 170  , Heartbreaker                      , 160         , Saralinneke                   , 150
Verdi                                                                                                             , 2002         , 170  , Andiamo                           , 150         , Platina                       , 140
Santacruz (aka: SPECIAL VERDICT)                                                                                  , 1996         , 170  , Cavalier Royale                   , 170         , Kilkenny Duchess              , 150
Best Of Berlin Bs                                                                                                 , 2009         , 170  , unknown                           , 170         , Shakira Bs                    , 150
Sea Coast Coco Berlini (aka: COCO BERLINI)                                                                        , 2008         , 170  , Berlin                            , 140         , Quibelle                      , 170
Diarado                                                                                                           , 2008         , 170  , Vigaro                            , 170         , Idola                         , 170
Diarado'S Love Elith                                                                                              , 2010         , 170  , Diarado                           , 170         , Carisma                       , 170
Baloubet du Rouet                                                                                                 , 1989         , 170  , Galoubet A                        , 170         , Mesange du Rouet              , 120
For Pleasure                                                                                                      , 1986         , 170  , Furioso II                        , 170         , Gigantin                      , 110
"For Cash 2 (aka: FERRIS 34, PLEASURE CALLING)"                                                                   , 2006         , 170  , For Pleasure                      , 170         , N-Cherry                      , 110
Another Pleasure (aka: FORANI)                                                                                    , 2005         , 170  , For Pleasure                      , 170         , Nielrite                      , 150
Quidam de Revel                                                                                                   , 1982         , 170  , Jalisco B                         , 170         , Dirka                         , 170
U-Vinckenburgh (aka: Heartbreaker 5)                                                                              , 2001         , 170  , Heartbreaker                      , 160         , Nafanory                      , 150
Heartbreaker VD Achterhoek                                                                                        , 2007         , 170  , Bentley vd Heffinck               , 150         , Cathleen                      , 170
Carrow Indoctro                                                                                                   , 2011         , 170  , C-Indoctro                        , 140         , Drumiller Heartbeat           , 150
Quick Star                                                                                                        , 1982         , 170  , Galoubet A                        , 170         , Stella                        , 160
"Twinkle-Star Sr (aka: G AND C QUICK STAR, QUICK STAR 11)"                                                        , 2000         , 170  , Quick Star                        , 170         , Famose                        , 150
Big Star (aka: What a Quickstar K)                                                                                , 2003         , 170  , Quick Star                        , 170         , Jolanda                       , 150
Darco                                                                                                             , 1980         , 170  , Lugano van la Roche               , 170         , Ocoucha                       , 150
Imoza (aka: DARCO GIRL)                                                                                           , 1985         , 170  , Darco                             , 170         , Clara Van Het Gravenhof       , 150
"Taloubetdarco K Z (aka: Taloubet Darco, Taloubet Darco K Z)"                                                     , 2005         , 170  , Taloubet Z                        , 170         , Jarabine                      , 150
Baloutinue                                                                                                        , 2010         , 170  , Balou du Rouet                    , 150         , Utika                         , 140
Checker (aka: CHECKER 5)                                                                                          , 2001         , 170  , Carvallo BB                       , 140         , Mystera                       , 150
Checkers 10                                                                                                       , 2005         , 170  , Coronado                          , 140         , Cassandra                     , 170
Equipharma Dax Van D'Abdijhoeve (aka: DAX VAN D'ABDIJHOEVE)                                                       , 2003         , 170  , Desir du Chateau                  , 170         , Vanite van de Heffinck        , 150
Easy (aka: EASY 65)                                                                                               , 2000         , 170  , Escudo I                          , 160         , Samba                         , 170
King Edward (aka: King Edward Ress)                                                                               , 2010         , 170  , Edward                            , 140         , Koningin de Lauzelle          , 150
"Corono Z (aka: CARRICK, CARRICK 8)"                                                                              , 2000         , 170  , Carthago                          , 170         , Woronja                       , 110
Chalou (aka: Chalou 3)                                                                                            , 2009         , 170  , Chacco-Blue                       , 160         , Gremlina                      , 170
Tailormade Chaloubet (aka: CHALOUBET)                                                                             , 2005         , 170  , Chacco-Blue                       , 160         , Baloupetra                    , 140
Olisco M (aka: CHAMBACUNERO)                                                                                      , 1996         , 170  , Quidam de Revel                   , 170         , Famose                        , 150
Olisco                                                                                                            , 1980         , 170  , Jalisco B                         , 170         , Stella                        , 160
"QH Alfons Santo Antonio (aka: Alfons, Alfons Ra)"                                                                , 2007         , 170  , Aromats                           , 170         , Fiorella                      , 140
Vitiki                                                                                                            , 2008         , 170  , Valentino                         , 170         , Finja                         , 140
"Karlin van ' t Vennehof (aka: Karlin, Karlin Van’t Vennehof)"                                                    , 2010         , 170  , Fantomas de Muze                  , 145         , Fleur Van 'T Vennehof         , 150
Vancouver de Lanlore                                                                                              , 2009         , 170  , Toulon                            , 160         , Hispania de Bacon             , 150
Donatello d'Auge                                                                                                  , 2013         , 170  , Jarnac                            , 160         , Tequila D'Auge                , 150
Chat Botte Db                                                                                                     , 2002         , 170  , Clinton                           , 170         , Quintonine Db                 , 150
"Monaco N.O.P. (aka: Monaco, Monaco 123)"                                                                         , 2009         , 170  , Cassini II                        , 140         , Ulla II                       , 150
"Conterno (aka: CONTERNO 6, MONACO)"                                                                              , 2002         , 170  , Contender                         , 170         , Inka XIX                      , 150
Rum (aka: MONACO)                                                                                                 , 1975         , 170  , Lancier                           , 110         , Marianne                      , 130
United Touch S                                                                                                    , 2012         , 170  , Untouched                         , 170         , Touch Of Class                , 170
Blues d'Aveline CH (aka: Blues d'Aveline)                                                                         , 2012         , 170  , Baloussini                        , 160         , Loreley                       , 140
Beauville Z                                                                                                       , 2010         , 170  , Bustique                          , 140         , Wrinton                       , 150
Volnay du Boisdeville                                                                                             , 2009         , 170  , Winningmood van de Arenberg       , 160         , Copacabana II                 , 150
Kardenta van 't Meerhof (aka: Kardenta)                                                                           , 2010         , 170  , Cardento                          , 170         , Majestic                      , 160
Callas                                                                                                            , 2008         , 170  , Casall ASK                        , 170         , Noblesse I                    , 150
"Calloo W (aka: CALLAO W, PIKEUR CALLOO)"                                                                         , 1985         , 170  , Cantus                            , 170         , Tabela                        , 150
"Mumbai van de Moerhoeve (aka: Mumbai, Mumbai 3)"                                                                 , 2012         , 170  , Diamant de Semilly                , 170         , Ischgl de Muze                , 150
Darc De Lux                                                                                                       , 2011         , 170  , Darco                             , 170         , Ordelia                       , 150
Gakhir                                                                                                            , 2011         , 170  , Spartacus TN                      , 160         , Zakhira                       , 150
Chelsea E 2 (aka: FISCHERCHELSEA)                                                                                 , 2008         , 170  , Check In                          , 140         , Argentina E                   , 150
Donatello 141 (aka: Donatello)                                                                                    , 2011         , 170  , Diarado                           , 170         , Luna                          , 150
Hello Jefferson (aka: Jerenmias van het Hulstenhof)                                                               , 2009         , 170  , Cooper vd Heffinck                , 160         , Hovis                         , 150
"BROOKLYN HEIGHTS (aka: JORDEN VAN DE KRUISHOEVE, JORDEN VD KRUISHOEVE)"                                          , 2009         , 170  , Nabab de Reve                     , 170         , Cordula de Laubry             , 150
Cinca 3                                                                                                           , 2009         , 170  , Casall ASK                        , 170         , L-Cinderella                  , 150
Balou du Reventon (aka: Cornet's Balou)                                                                           , 2006         , 170  , Cornet Obolensky                  , 170         , Georgia                       , 140
Acota M                                                                                                           , 2013         , 170  , Toulon                            , 160         , Aquinora                      , 150
"Hortensia v d Leeuwerk (aka: Hortensia, Hortensia van de Leeuwerk)"                                              , 2007         , 170  , Corland                           , 160         , Danora van de Leeuwerk        , 150
Romeo (aka: ROMEO 345)                                                                                            , 1996         , 170  , Ramiro's Bube                     , 170         , Rina                          , 150
